flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method
17260923,Activated Sludge System,Take photo of Activated Sludge System,11470925,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Activated Sludge System,Comment on the operation of the Activated Sludge System,19230923,,,,,75.86,none,none
17260923,Anaerobic Lagoons,Take photo of anaerobic lagoon,12500923,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Anaerobic Lagoons,Comment on the Anaerobic lagoons,14500932,,,,,76.92,none,none
17260923,Constraints and Recommendations,Do you have any work related constraints?,12470933,1748918946591,Constraints and Recommendations,24. Do you have any work related constraints?,1748919341459,100.0,high,text_similarity
17260923,Constraints and Recommendations,Please provide details for constraints,13480932,1748918946591,Constraints and Recommendations,Please provide details for constraints,1748919922789,100.0,high,text_similarity
17260923,Constraints and Recommendations,What are the final recommendations from the DWS staff  on the overall operations and remedial actions for the plant?,14490927,1748918946591,Constraints and Recommendations,What are the final recommendations from the DWS staff  on the overall operations and remedial actions for the plant?,1748920085643,100.0,high,text_similarity
17260923,Constraints and Recommendations,Signature of DWS Staff,14540922,1748918946591,Constraints and Recommendations,Signature of DWS Staff,1748920135334,100.0,high,text_similarity
17260923,Constraints and Recommendations,Any final recommendation?,19180933,1748918946591,Constraints and Recommendations,Any final recommendation?,1748919962161,100.0,high,text_similarity
17260923,Constraints and Recommendations,What are your final recommendations?,19200932,1748918946591,Constraints and Recommendations,What are your final recommendations?,1748919992109,100.0,high,text_similarity
17260923,Drying Beds,Comment on the drying beds,14500935,,,,,73.17,none,none
17260923,Drying Beds,Take photo of drying beds,15520929,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Effluent Pumping,Take photo of the effluent pump station?,29480925,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Effluent Pumping,Are there any effluent pump station?,30120923,,,,,58.82,none,none
17260923,Effluent Pumping,Are you able to take photo of effluent pump station?,30120924,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Effluent Pumping,Comment on the effluent pump station?,30150921,1748918946591,Plant Influent and Effluent,Comment on the plant influent,1748919315351,80.77,low,text_similarity
17260923,Facultative Ponds,Comment on the operation of the facultative pond,27750920,,,,,75.86,none,none
17260923,Facultative Ponds,Take photo of Facultative Pond,30120920,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Flow Indicators,Describe the inflow at the inlet?,11430929,,,,,56.14,none,none
17260923,Flow Indicators,Take photo of the inlet,12490921,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Flow Indicators,What is the inflow rate in cubic meters per day?,13480930,,,,,55.81,none,none
17260923,Flow Indicators,Is there a inflow meter?,17280930,,,,,60.47,none,none
17260923,General Information on Plant Conditions,Do you have urgent maintenance programs?,10530930,,,,,55.0,none,none
17260923,General Information on Plant Conditions,Ground Conditions,10540926,,,,,60.61,none,none
17260923,General Information on Plant Conditions,Condition of fence for security purpose,11430927,,,,,57.89,none,none
17260923,General Information on Plant Conditions,Working tools?,12460931,,,,,57.14,none,none
17260923,General Information on Plant Conditions,Please provide details of these programs?,12460934,1748918946591,Constraints and Recommendations,Please provide details for constraints,1748919922789,80.0,low,text_similarity
17260923,General Information on Plant Conditions,Take photo,12470927,1748918946591,Plant General Information,Take Photo of the Treatment Plant,1748919298813,100.0,high,text_similarity
17260923,General Information on Plant Conditions,Take photo,13470925,1748918946591,Plant General Information,Take Photo of the Treatment Plant,1748919298813,100.0,high,text_similarity
17260923,General Information on Plant Conditions,Transport availability,13470926,,,,,57.89,none,none
17260923,General Information on Plant Conditions,Take photo,14460928,1748918946591,Plant General Information,Take Photo of the Treatment Plant,1748919298813,100.0,high,text_similarity
17260923,General Information on Plant Conditions,Security lights,15490927,,,,,48.28,none,none
17260923,General Information on Plant Conditions,Building Conditions,15510925,,,,,59.46,none,none
17260923,General Information on Plant Conditions,Do you have any upgrading programs?,17270934,,,,,62.86,none,none
17260923,General Information on Plant Conditions,Do you have planned preventative maintenance programs?,17280926,,,,,60.24,none,none
17260923,General Information on Plant Conditions,Please provide details of these programs?,17280928,1748918946591,Constraints and Recommendations,Please provide details for constraints,1748919922789,80.0,low,text_similarity
17260923,General Information on Plant Conditions,Please provide details of these programs?,17290928,1748918946591,Constraints and Recommendations,Please provide details for constraints,1748919922789,80.0,low,text_similarity
17260923,General Information on Plant Conditions,OHS equipment available?,19180929,,,,,47.83,none,none
17260923,Influent Pumping,Are you able to take photo of the Influent Pump Station?,16570945,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Influent Pumping,Comment on the influent pumping system,18150922,1748918946591,Plant Influent and Effluent,Comment on the plant influent,1748919315351,88.46,medium,text_similarity
17260923,Influent Pumping,Take photo of the influent pumping station,19240926,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Influent Pumping,Are there any influent pump station?,21890959,,,,,66.67,none,none
17260923,Maturation Pond,Comment on the operation of the Maturation Pond,27740971,,,,,75.86,none,none
17260923,Maturation Pond,Take Photo of the Maturation pond,27740972,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Plant Effluent,Take photo of effluent sampling point,18140931,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Plant Effluent,Comment on the plant effluent,19250925,1748918946591,Plant Influent and Effluent,Comment on the plant influent,1748919315351,93.1,medium,text_similarity
17260923,Plant Effluent,Method of Testing for plant effluent,23260920,1748918946591,Plant Influent and Effluent,Method of Testing for plant effluent,1748919506489,100.0,high,text_similarity
17260923,Plant Effluent,What is the BOD in mg/L?,26220920,,,,,68.42,none,none
17260923,Plant Effluent,What is the Nitrate level in mg/L?,283670995,,,,,61.54,none,none
17260923,Plant Effluent,What is the Total Phosphorus in mg/L?,283680996,,,,,76.67,none,none
17260923,Plant Effluent,Are you able to take the sample?,28590921,1748918946591,Plant Influent and Effluent,Are you able to take the sample?,1748919463685,100.0,high,text_similarity
17260923,Plant Effluent,What is the TSS in mg/L?,291250987,,,,,70.27,none,none
17260923,Plant Effluent,What is the Ammonia level in mg/L?,291250988,,,,,61.54,none,none
17260923,Plant Effluent,What is the Total Alkalinity in mg/L?,291260997,,,,,72.73,none,none
17260923,Plant Effluent,What is the COD in mg/L?,297600977,,,,,68.42,none,none
